@relation hawks

@attribute id NUMERIC
@attribute month NUMERIC
@attribute day NUMERIC
@attribute year NUMERIC
@attribute captureTime DATE "HH:mm"
@attribute releaseTime DATE "HH:mm"
@attribute age {I, A}
@attribute sex {F, M}
@attribute wing NUMERIC
@attribute weight NUMERIC
@attribute culmen NUMERIC
@attribute hallux NUMERIC
@attribute tail NUMERIC
@attribute species {CH, RT, SS}

@data
1,9,19,1992,13:30,?,I,?,385,920,25.7,30.1,219,RT
3,9,23,1992,10:30,?,I,?,381,990,26.7,31.3,235,RT
4,9,23,1992,12:45,?,I,F,265,470,18.7,23.5,220,CH
5,9,27,1992,10:50,?,I,F,205,170,12.5,14.3,157,SS
6,9,28,1992,11:15,?,I,?,412,1090,28.5,32.2,230,RT
7,9,28,1992,11:25,?,I,?,370,960,25.3,30.1,212,RT
8,9,29,1992,13:30,?,A,?,375,855,27.2,30,243,RT
9,9,29,1992,11:45,?,A,?,412,1210,29.3,31.3,210,RT
10,9,30,1992,15:35,?,I,?,405,1120,26,30.2,238,RT
11,10,5,1992,13:45,?,I,?,393,1010,26.3,30.8,222,RT
12,10,8,1992,13:30,?,I,?,371,1010,25.4,29.7,217,RT
13,10,9,1992,13:45,?,A,?,390,1120,28.9,30.9,213,RT
15,10,11,1992,12:30,?,I,?,416,1170,26.5,34,243,RT
16,10,11,1992,11:05,?,A,?,436,1390,30.5,34,232,RT
17,10,11,1992,11:00,?,I,?,418,1150,27.1,31,238,RT
18,10,11,1992,11:45,?,A,?,381,950,28.9,28.9,202,RT
19,10,12,1992,12:40,?,I,?,378,910,25.7,28.2,227,RT
20,10,13,1992,14:20,?,I,?,396,1010,24,26.9,227,RT
21,10,13,1992,13:40,?,I,?,399,1070,26.4,31.2,222,RT
22,10,14,1992,11:00,?,I,?,416,1190,28.8,31.6,237,RT
23,10,17,1992,14:50,?,I,?,415,101,24.9,30.7,238,RT
24,10,22,1992,13:15,?,A,?,392,1330,27,30.3,213,RT
25,10,23,1992,12:10,?,I,?,380,990,26,30,211,RT
27,10,24,1992,13:05,?,I,?,399,1100,26.2,32.5,190,RT
28,10,25,1992,11:45,?,A,?,401,1190,28.6,31.6,245,RT
29,10,27,1992,16:05,?,I,F,205,180,11.7,15,164,SS
30,10,27,1992,14:35,?,I,?,427,1490,30.1,32.4,246,RT
31,10,27,1992,12:05,?,A,?,395,1040,27.1,31.4,207,RT
32,10,30,1992,10:05,?,I,?,362,820,24.9,27.9,209,RT
33,11,3,1992,10:45,?,A,?,396,1030,26,29.7,200,RT
34,11,8,1992,15:15,?,A,?,391,1300,25.5,32.4,215,RT
35,11,8,1992,11:05,?,A,?,413,1500,26.5,31.3,219,RT
36,11,13,1992,10:15,?,A,?,371,1080,25.3,27.2,198,RT
37,11,16,1992,11:45,?,A,?,385,1320,27.3,30.1,207,RT
38,11,21,1992,13:30,?,A,?,378,1490,25.4,31.3,204,RT
39,11,22,1992,10:45,?,A,?,416,1500,29.1,30.8,205,RT
40,9,13,1993,11:15,?,I,M,193,100,9.3,101,144,SS
41,9,17,1993,14:00,?,I,M,171,88,9.7,11.5,136,SS
42,9,20,1993,10:08,?,I,?,233,324,16,19.3,191,CH
43,9,21,1993,14:25,?,I,?,384,1060,26.1,31.2,230,RT
44,9,22,1993,15:25,?,I,?,382,1140,25.1,29.4,227,RT
45,9,22,1993,13:45,?,I,?,390,1030,27.6,30.3,208,RT
46,9,27,1993,15:11,?,I,?,390,1000,25.1,28.3,231,RT
47,9,27,1993,13:50,?,I,?,393,1050,28.7,29.8,222,RT
48,9,27,1993,15:55,?,I,?,378,1040,26.2,31.2,225,RT
49,9,27,1993,12:15,?,I,?,398,1110,26.5,30.9,225,RT
50,9,28,1993,13:00,?,I,?,412,1300,27.9,31.55,233,RT
51,9,28,1993,13:20,?,I,?,400,980,25.7,29.3,214,RT
52,9,29,1993,15:03,?,I,?,422,1120,26.4,28.3,233,RT
53,9,29,1993,11:50,?,I,F,202,134,12.4,13.7,158,SS
54,9,29,1993,12:45,?,I,?,394,1270,27.8,31.6,245,RT
55,9,30,1993,09:53,?,I,?,369,880,25,26.5,210,RT
56,10,1,1993,10:25,?,I,F,252,340,16,20.8,230,CH
57,10,1,1993,15:30,?,A,M,240,340,16.1,19.3,192,CH
58,10,3,1993,13:25,?,I,?,410,1255,29.7,31.4,229,RT
59,10,4,1993,10:20,?,I,?,241,1320,28.6,36.4,235,RT
60,10,7,1993,10:45,?,I,?,408,1320,30,33.4,221,RT
61,10,9,1993,13:35,?,I,?,37.2,1180,20.2,26.65,210,RT
62,10,9,1993,11:25,?,I,?,380,760,24.5,26.1,212,RT
63,10,10,1993,14:40,?,I,?,396,1250,26.6,32.5,225,RT
65,10,11,1993,09:38,?,I,M,158,100,10.8,10.5,122,SS
66,10,11,1993,10:20,?,I,?,416,1300,27.3,32.7,235,RT
67,10,12,1993,11:25,?,I,F,271,475,18.2,24.75,232,CH
68,10,13,1993,13:27,?,A,M,176,100,9.8,11.1,133,SS
70,10,21,1993,11:35,?,A,?,390,1080,30.2,29.1,209,RT
